ID,Company name Latin alphabet,NAICS 2017; primary code(s),Operating P/L [=EBIT]; th USD 2021,Operating P/L [=EBIT]; th USD 2020,Operating P/L [=EBIT]; th USD 2019,Operating P/L [=EBIT]; th USD 2018,Operating P/L [=EBIT]; th USD 2017,Operating P/L [=EBIT]; th USD 2016,Operating P/L [=EBIT]; th USD 2015,Operating P/L [=EBIT]; th USD 2014,Operating P/L [=EBIT]; th USD 2013,Operating P/L [=EBIT]; th USD 2012,P/L for period [=Net income]; th USD 2021,P/L for period [=Net income]; th USD 2020,P/L for period [=Net income]; th USD 2019,P/L for period [=Net income]; th USD 2018,P/L for period [=Net income]; th USD 2017,P/L for period [=Net income]; th USD 2016,P/L for period [=Net income]; th USD 2015,P/L for period [=Net income]; th USD 2014,P/L for period [=Net income]; th USD 2013,P/L for period [=Net income]; th USD 2012,Total assets; th USD 2021,Total assets; th USD 2020,Total assets; th USD 2019,Total assets; th USD 2018,Total assets; th USD 2017,Total assets; th USD 2016,Total assets; th USD 2015,Total assets; th USD 2014,Total assets; th USD 2013,Total assets; th USD 2012,Cash & cash equivalent; th USD 2021,Cash & cash equivalent; th USD 2020,Cash & cash equivalent; th USD 2019,Cash & cash equivalent; th USD 2018,Cash & cash equivalent; th USD 2017,Cash & cash equivalent; th USD 2016,Cash & cash equivalent; th USD 2015,Cash & cash equivalent; th USD 2014,Cash & cash equivalent; th USD 2013,Cash & cash equivalent; th USD 2012,Total Liabilities and Debt; th USD 2021,Total Liabilities and Debt; th USD 2020,Total Liabilities and Debt; th USD 2019,Total Liabilities and Debt; th USD 2018,Total Liabilities and Debt; th USD 2017,Total Liabilities and Debt; th USD 2016,Total Liabilities and Debt; th USD 2015,Total Liabilities and Debt; th USD 2014,Total Liabilities and Debt; th USD 2013,Total Liabilities and Debt; th USD 2012,Total Current Liabilities; th USD 2021,Total Current Liabilities; th USD 2020,Total Current Liabilities; th USD 2019,Total Current Liabilities; th USD 2018,Total Current Liabilities; th USD 2017,Total Current Liabilities; th USD 2016,Total Current Liabilities; th USD 2015,Total Current Liabilities; th USD 2014,Total Current Liabilities; th USD 2013,Total Current Liabilities; th USD 2012,Income Tax Payable; th USD 2021,Income Tax Payable; th USD 2020,Income Tax Payable; th USD 2019,Income Tax Payable; th USD 2018,Income Tax Payable; th USD 2017,Income Tax Payable; th USD 2016,Income Tax Payable; th USD 2015,Income Tax Payable; th USD 2014,Income Tax Payable; th USD 2013,Income Tax Payable; th USD 2012,Depreciation; th USD 2021,Depreciation; th USD 2020,Depreciation; th USD 2019,Depreciation; th USD 2018,Depreciation; th USD 2017,Depreciation; th USD 2016,Depreciation; th USD 2015,Depreciation; th USD 2014,Depreciation; th USD 2013,Depreciation; th USD 2012
1,WALMART INC.,445110,n.a.,26948000,20568000,21957000,20437000,22764000,24105000,27147000,26872000,27725000,n.a.,13510000,14881000,6670000,9862000,13643000,14694000,16363000,16022000,16999000,n.a.,252496000,236495000,219295000,204522000,198825000,199581000,203490000,204751000,203105000,n.a.,17741000,9465000,7722000,6456000,6602000,8343000,9135000,6627000,7066000,n.a.,171571000,161826000,146799000,126653000,121027000,119035000,122096000,128496000,126762000,n.a.,92645000,77790000,77477000,78521000,66928000,64619000,65253000,69345000,71818000,n.a.,242000,280000,428000,645000,921000,521000,1021000,966000,2211000,n.a.,-11200000,-11000000,-10700000,-10529000,-10080000,-9454000,-9173000,-8870000,-8501000
2,AMAZON.COM; INC.,451211,n.a.,22899000,14541000,12421000,4106000,4186000,2233000,178000,745000,676000,n.a.,21331000,11588000,10073000,3033000,2371000,596000,-241000,274000,-39000,n.a.,321195000,225248000,162648000,131310000,83402000,64747000,54505000,40159000,32555000,n.a.,84396000,55021000,41250000,30986000,25981000,19808000,17416000,12447000,11448000,n.a.,227791000,163188000,119099000,103601000,64117000,51363000,43764000,30413000,24363000,n.a.,126385000,87812000,68391000,57883000,43816000,33887000,28089000,22980000,19002000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-16200000,-15150000,-12138000,-2312000,-6400000,-4900000,-3600000,-2500000,-1700000
3,APPLE INC.,334220,108949000,66288000,63930000,70898000,61344000,60024000,71230000,52503000,48999000,55241000,94680000,57411000,55256000,59531000,48351000,45687000,53394000,39510000,37037000,41733000,351002000,323888000,338516000,365725000,375319000,321686000,290345000,231839000,207000000,176064000,62639000,90943000,100557000,66301000,74181000,67155000,41601000,25077000,40546000,29129000,287912000,258549000,248028000,258578000,241272000,193437000,170990000,120292000,83451000,57854000,125481000,105392000,105718000,115929000,100814000,79006000,80610000,63448000,43658000,38542000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1209000,1200000,1535000,-11284000,-11056000,-12547000,-10903000,-8200000,-8300000,-9200000,-6900000,-5800000,-2600000
4,CVS HEALTH CORPORATION,446110,n.a.,13974000,12467000,4021000,9538000,10386000,9454000,8799000,8037000,7210000,n.a.,7179000,6629000,-597000,6598000,5290000,5237000,4644000,4592000,3864000,n.a.,230715000,222449000,196456000,95131000,94462000,92437000,74187000,71526000,66221000,n.a.,10854000,8056000,6581000,1807000,3458000,2547000,2515000,4177000,1380000,n.a.,161326000,158585000,138231000,57440000,57632000,55241000,36229000,33588000,28568000,n.a.,62017000,53303000,44009000,30648000,26250000,23169000,19027000,15425000,14150000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2141000,-1971000,-1718000,-1700000,-1700000,-1500000,-1413000,-1400000,-1300000
5,COSTCO WHOLESALE CORP,452311,7223000,6107000,4737000,4480000,4111000,3672000,3624000,3220000,3053000,2759000,5007000,4002000,3659000,3134000,2679000,2350000,2377000,2058000,2039000,1709000,59268000,55556000,45400000,40830000,36347000,33163000,33017000,33024000,30283000,27140000,12175000,13305000,9444000,7259000,5779000,4729000,6419000,7315000,6124000,4854000,41704000,37272000,30157000,28031000,25569000,21084000,22400000,20721000,19450000,14779000,29441000,24844000,23237000,19926000,17495000,15575000,16539000,14412000,13257000,12260000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1781000,-1645000,-1492000,-1437000,-1370000,-1255000,-1127000,-1029000,-946000,-908000
6,EXXON MOBIL CORP,324110,n.a.,-30653000,11664000,20839000,12074000,936000,12883000,34082000,40301000,49881000,n.a.,-22440000,14340000,20840000,19710000,7840000,16150000,32520000,32580000,44880000,n.a.,332750000,362597000,346196000,348691000,330314000,336758000,349493000,346808000,333795000,n.a.,4364000,3089000,3042000,3177000,3657000,3705000,4616000,4644000,9582000,n.a.,175600000,170947000,154402000,161003000,162989000,165947000,175094000,172805000,167932000,n.a.,56363000,63989000,57138000,57771000,47638000,53976000,64633000,71724000,64139000,n.a.,684000,1580000,2612000,3045000,2615000,2802000,4938000,7831000,9758000,n.a.,-20098000,-18998000,-18745000,-19893000,-22308000,-18048000,-17297000,-17182000,-15888000
7,WALGREENS BOOTS ALLIANCE; INC.;,446110,3938000,1638000,5257000,6701000,6636000,6518000,4353000,3577000,3596000,3464000,2542000,457000,3982000,5024000,4078000,4173000,4220000,1932000,2548000,2127000,81285000,87174000,67598000,68124000,66009000,72688000,68782000,37250000,35481000,33462000,1193000,516000,1023000,785000,3301000,9807000,3000000,2646000,2106000,1297000,57866000,66536000,44087000,42117000,38543000,42808000,37921000,16737000,16027000,15226000,22054000,27070000,25769000,21667000,18547000,17013000,16557000,8895000,8883000,8722000,94000,110000,216000,273000,329000,206000,176000,105000,101000,0,-1450000,-1543000,-1565000,-1400000,-1300000,-1322000,-1300000,-1034000,-994000,-911000
8,KROGER CO,445110,n.a.,2780000,2251000,2614000,2612000,3452000,3576000,3137000,2725000,2764000,n.a.,2585000,1659000,3110000,1907000,1975000,2039000,1728000,1519000,1497000,n.a.,48662000,45256000,38118000,37197000,36505000,33897000,30497000,29281000,24634000,n.a.,1687000,399000,429000,347000,322000,277000,268000,401000,238000,n.a.,39086000,36654000,30232000,30266000,29807000,27077000,25085000,23897000,20427000,n.a.,15366000,14243000,14274000,14197000,12860000,12971000,11403000,10705000,11061000,n.a.,n.a.,n.a.,n.a.,0,251000,221000,287000,340000,288000,n.a.,-2680000,-2564000,-2385000,-2377000,-2277000,-2038000,-1948000,-1703000,-1652000
9,HOME DEPOT INC,444110,n.a.,20278000,15843000,15530000,14681000,13427000,11774000,10469000,9166000,7766000,n.a.,12866000,11242000,11121000,8630000,7957000,7009000,6345000,5385000,4535000,n.a.,70581000,51236000,44003000,44529000,42966000,41973000,39946000,40518000,41084000,n.a.,7895000,2133000,1778000,3595000,2538000,2216000,1723000,1929000,2494000,n.a.,67282000,54352000,45881000,43075000,38633000,35657000,30624000,27996000,23307000,n.a.,23166000,18375000,16716000,16194000,14133000,12524000,11269000,10749000,11462000,n.a.,193000,55000,11000,54000,25000,34000,36000,14000,24000,n.a.,-2519000,-2296000,-2152000,-2062000,-1973000,-1863000,-1786000,-1757000,-1684000
10,FORD MOTOR CO,336111,n.a.,-4408000,530000,3205000,4882000,5786000,6981000,332000,12809000,5799000,n.a.,-1279000,47000,3677000,7731000,4589000,7373000,1231000,11953000,5613000,n.a.,267261000,258537000,256540000,258496000,237951000,224925000,208615000,202179000,189406000,n.a.,49961000,34651000,33951000,38927000,38827000,35176000,31150000,36568000,35943000,n.a.,236571000,225352000,220608000,222918000,208781000,196283000,184177000,176067000,173459000,n.a.,97192000,98132000,95569000,94600000,90281000,81014000,76745000,73804000,73041000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-8751000,-9689000,-9280000,-9122000,-9023000,-7993000,-7385000,-6504000,-5486000
